data,Casos_Publicacao_Min,Casos_Publicacao_Max
2021-06-07,1095.631301787685,1156.2105089783129
2021-06-08,1071.0808220384954,1146.6209185792345
2021-06-09,1075.1856321441023,1147.9526878129984
2021-06-10,1055.7403451771845,1109.0953491495504
2021-06-11,1012.8332968530709,1079.2368003902195
2021-06-12,1025.4449740548193,1077.3526966922168
2021-06-13,1014.2816073610645,1084.0619701467963
2021-06-14,1070.6033028197596,1130.1275374455072
2021-06-15,1086.8576593792852,1156.153232577613
2021-06-16,1088.1776647413878,1153.5406265378813
2021-06-17,1151.3981638930215,1208.1172064876944
2021-06-18,1170.1392246973678,1228.5890944246096
2021-06-19,1150.8028189410472,1231.8934147935377
2021-06-20,1131.7948183623791,1204.3599865045
2021-06-21,1118.8517177554704,1195.0693769422228
2021-06-22,1070.0084889694635,1122.9205997434892
2021-06-23,1024.6443605095499,1099.664376321132
2021-06-24,988.5780121252569,1054.984578323601
2021-06-25,977.6387084475057,1028.517721383541
2021-06-26,935.2141987312525,1003.1156350752358
2021-06-27,929.520287424785,978.2040898752368
2021-06-28,921.2866957427929,1003.582513670148
2021-06-29,937.7877921490284,993.7800361733191
2021-06-30,930.3858918057264,977.172821626598
2021-07-01,899.093053965872,956.867383765445
2021-07-02,860.7136394829319,916.4661029383715
2021-07-03,840.5189558434137,891.4765327009683
2021-07-04,810.0290372442485,856.5461581006382
2021-07-05,789.03701039745,843.3032865257176
2021-07-06,775.722196956251,826.8570934379344
2021-07-07,790.3245010533809,849.2117607118736
2021-07-08,791.6447900002797,834.4775862699818
2021-07-09,781.2988474500911,822.6418369761901
2021-07-10,771.2960858020773,810.1015460560214
2021-07-11,760.1535742604981,802.2595995083266
2021-07-12,743.9147022285596,784.673977076909
2021-07-13,692.9200671224684,738.6333027904013
2021-07-14,643.0400595508579,689.5652068319739
2021-07-15,603.7387930265592,652.3176553963899
2021-07-16,574.1252407659999,614.5246392542116
2021-07-17,571.3899811655077,597.8438565376846
2021-07-18,558.6207230461599,593.5105962043834
2021-07-19,540.5475110785804,579.4861940818884
2021-07-20,511.82275959295026,553.9524168770879
2021-07-21,496.420988955384,542.3677173489108
2021-07-22,478.97777832390955,521.6012448289874
2021-07-23,464.27503546354006,503.404172782275
2021-07-24,448.6552716644351,488.3644801946022
2021-07-25,432.7905060045765,471.5973518758606
2021-07-26,458.62636669304806,495.7169078521541
2021-07-27,437.62827942209265,471.9716800471437
2021-07-28,404.5022970976045,449.60688331381823
2021-07-29,383.9546179806803,428.7636063262841
2021-07-30,375.4860548800906,412.02436885838074
2021-07-31,360.13073288119216,399.158609795545
2021-08-01,358.23891506075955,384.8285155161385
2021-08-02,347.2644818875721,382.5986710475071
2021-08-03,338.27600440160785,372.06235149549633
2021-08-04,332.5647311063899,373.12165414550526
2021-08-05,330.74897728837703,366.381611046084
2021-08-06,309.1012739217485,357.9399992718791
2021-08-07,319.81859910778593,348.3976966062593
2021-08-08,307.28764022339425,335.5087334058039
2021-08-09,294.2959365405744,334.7748051178482
2021-08-10,295.89380239912737,329.1108452423982
2021-08-11,285.41241029629356,321.53176627990086
