data,Casos_DataSintoma_MM_atual_PA
2020-10-14,507.6968527507079
2020-10-15,485.6249681593841
2020-10-16,472.56713874842495
2020-10-17,497.1708446938193
2020-10-18,527.9088339105336
2020-10-19,522.1620716958438
2020-10-20,533.0801847596324
2020-10-21,550.3457761362029
2020-10-22,585.3347741935916
2020-10-23,628.6384577808949
2020-10-24,631.2769448147357
2020-10-25,638.1244469184287
2020-10-26,637.086003733551
2020-10-27,656.994260200088
2020-10-28,666.66091504121
2020-10-29,659.7333009123842
2020-10-30,646.4648899868862
2020-10-31,641.2212968586924
2020-11-01,639.1402376111569
2020-11-02,623.3819079233866
2020-11-03,588.8250393643965
2020-11-04,575.4031243005159
2020-11-05,575.9955833820021
2020-11-06,577.0252872518553
2020-11-07,578.912388327792
2020-11-08,605.4359820845139
2020-11-09,603.4148483841464
2020-11-10,614.8571025645758
2020-11-11,621.6991290079723
2020-11-12,636.4573337715362
2020-11-13,650.1374485161843
2020-11-14,668.1217663240859
2020-11-15,660.3660136095717
2020-11-16,647.8750467007679
2020-11-17,668.2546362004473
2020-11-18,680.0827471141844
2020-11-19,684.1240137862179
2020-11-20,688.4421850609559
2020-11-21,693.6419230635439
2020-11-22,718.9789085272208
2020-11-23,719.2627851591737
2020-11-24,696.087247785523
2020-11-25,692.6539615928656
2020-11-26,696.264300514276
2020-11-27,741.3980055254862
2020-11-28,780.0566040958457
2020-11-29,789.1251808668839
2020-11-30,779.5256721224303
2020-12-01,773.0439729922349
2020-12-02,784.8985727961818
2020-12-03,792.8942283248857
2020-12-04,772.7585853219095
2020-12-05,773.8692840768903
2020-12-06,778.1523685709349
2020-12-07,774.518197920359
2020-12-08,840.2972467213837
2020-12-09,892.2039355692455
2020-12-10,939.4940339140534
2020-12-11,981.9110558637801
2020-12-12,1029.4237152980877
2020-12-13,1073.8788372460722
2020-12-14,1070.0180805671384
2020-12-15,1015.8528536669714
2020-12-16,981.4831329832125
2020-12-17,1006.1998660040468
2020-12-18,1013.0149835940543
2020-12-19,1011.0632255670622
2020-12-20,1004.6423094004714
2020-12-21,980.1240703528241
2020-12-22,988.8312386822946
2020-12-23,992.7127405545014
2020-12-24,971.59636501078
2020-12-25,989.2743981975194
2020-12-26,1000.477662241146
2020-12-27,1052.6184746792114
2020-12-28,1054.0416216561184
2020-12-29,1036.1337127394067
2020-12-30,1051.9950810824796
2020-12-31,1056.1846398478565
2021-01-01,1049.2801672850042
2021-01-02,1070.9589683572644
2021-01-03,1077.466189711564
2021-01-04,1087.8476609156257
2021-01-05,1093.85423977638
2021-01-06,1103.1448752088959
2021-01-07,1118.2298065147759
2021-01-08,1207.0042359855165
