data,Casos_Publicacao_MM_atual_PA
2021-01-19,1089.837872879605
2021-01-20,1102.6789033622933
2021-01-21,1114.759777448579
2021-01-22,1135.6873675462086
2021-01-23,1145.8237241808417
2021-01-24,1131.4696243380815
2021-01-25,1148.5395997355174
2021-01-26,1159.099164649421
2021-01-27,1184.830385831276
2021-01-28,1208.865395033498
2021-01-29,1221.9928181959542
2021-01-30,1234.2800682200184
2021-01-31,1241.1484167120893
2021-02-01,1271.2545510371995
2021-02-02,1294.3241086614782
2021-02-03,1304.725854037567
2021-02-04,1323.7845118265586
2021-02-05,1346.4250746227237
2021-02-06,1358.0139999268472
2021-02-07,1374.66176950347
2021-02-08,1413.1905790016006
2021-02-09,1439.4008855322184
2021-02-10,1448.9889930337526
2021-02-11,1449.3563351390012
2021-02-12,1449.5470633565471
2021-02-13,1445.1656616535786
2021-02-14,1434.5567602886422
2021-02-15,1421.9529905901395
2021-02-16,1392.9338482629005
2021-02-17,1390.7662378936582
2021-02-18,1381.940296962085
2021-02-19,1368.593922151125
2021-02-20,1354.8800896613454
2021-02-21,1352.0598134994032
2021-02-22,1364.2310171396903
2021-02-23,1360.914966887351
2021-02-24,1338.1052783430753
2021-02-25,1323.781348529452
2021-02-26,1313.069785792895
2021-02-27,1324.0612732597262
2021-02-28,1323.6299610230112
2021-03-01,1333.1706888653305
2021-03-02,1340.600133152963
2021-03-03,1350.6292642536073
2021-03-04,1360.6424415488698
2021-03-05,1375.3788994480772
2021-03-06,1373.2908945503336
2021-03-07,1388.905798239316
2021-03-08,1451.3480250105622
2021-03-09,1497.0342505882775
2021-03-10,1538.2361842320236
2021-03-11,1568.4782584884556
2021-03-12,1604.1950836627602
2021-03-13,1635.374116332467
2021-03-14,1665.3073753887927
2021-03-15,1676.5179371301494
2021-03-16,1687.188673462911
2021-03-17,1713.8911316385665
2021-03-18,1751.9766774911407
2021-03-19,1776.180186519271
2021-03-20,1797.6173183193007
2021-03-21,1821.1413252705788
2021-03-22,1855.2635693435566
2021-03-23,1887.1814909766863
2021-03-24,1893.5354026617867
2021-03-25,1917.3034527479035
2021-03-26,1937.2288849064755
2021-03-27,1982.1463545148492
2021-03-28,2007.764056432131
2021-03-29,2028.6686108434062
2021-03-30,2042.9336135975823
2021-03-31,2042.3289814140453
2021-04-01,2052.039575001038
2021-04-02,2064.6148164616025
2021-04-03,2063.337574136497
2021-04-04,2047.605943113916
2021-04-05,2051.198380926215
